orderId,productName,category,price,quantity,orderDate,customerRegion
ORD099,Medicine Ball,Sports,39.99,1,2023-10-09,Asia
ORD100,Hair Dryer,Beauty,69.99,1,2023-10-10,North America
ORD101,Drone,Electronics,399.99,1,2023-11-01,Europe
ORD102,Gloves,Apparel,19.99,2,2023-11-02,Asia
ORD103,Air Purifier,Home & Kitchen,199.99,1,2023-11-03,North America
ORD104,Punching Bag,Sports,149.99,1,2023-11-04,Europe
ORD105,Wallet,Accessories,49.99,1,2023-11-05,Asia
ORD106,Keyboard,Electronics,89.99,1,2023-11-06,North America
ORD107,Coat,Apparel,199.99,1,2023-11-07,Europe
ORD108,Humidifier,Home & Kitchen,79.99,1,2023-11-08,Asia
ORD109,Jump Rope,Sports,14.99,2,2023-11-09,North America
ORD110,Face Mask,Beauty,34.99,3,2023-11-10,Europe
ORD111,Projector,Electronics,299.99,1,2023-12-01,Asia
ORD112,Boots,Apparel,159.99,1,2023-12-02,North America
ORD113,Dehumidifier,Home & Kitchen,129.99,1,2023-12-03,Europe
ORD114,Weight Set,Sports,199.99,1,2023-12-04,Asia
ORD115,Tie,Accessories,29.99,2,2023-12-05,North America
ORD116,Sound Bar,Electronics,149.99,1,2023-12-06,Europe
ORD117,Underwear,Apparel,24.99,4,2023-12-07,Asia
ORD118,Space Heater,Home & Kitchen,69.99,1,2023-12-08,North America
ORD119,Protein Shaker,Sports,19.99,2,2023-12-09,Europe
ORD120,Body Lotion,Beauty,24.99,2,2023-12-10,Asia
